C:\Users\thulasiraman\Desktop\Data\IMG\center_2020_06_15_18_27_26_394.jpg, C:\Users\thulasiraman\Desktop\Data\IMG\left_2020_06_15_18_27_26_394.jpg, C:\Users\thulasiraman\Desktop\Data\IMG\right_2020_06_15_18_27_26_394.jpg, 0, 0, 0, 5.421394
C:\Users\thulasiraman\Desktop\Data\IMG\center_2020_06_15_18_27_26_528.jpg, C:\Users\thulasiraman\Desktop\Data\IMG\left_2020_06_15_18_27_26_528.jpg, C:\Users\thulasiraman\Desktop\Data\IMG\right_2020_06_15_18_27_26_528.jpg, 0, 0, 0, 5.348547
C:\Users\thulasiraman\Desktop\Data\IMG\center_2020_06_15_18_27_26_659.jpg, C:\Users\thulasiraman\Desktop\Data\IMG\left_2020_06_15_18_27_26_659.jpg, C:\Users\thulasiraman\Desktop\Data\IMG\right_2020_06_15_18_27_26_659.jpg, 0, 0, 0, 5.276721
C:\Users\thulasiraman\Desktop\Data\IMG\center_2020_06_15_18_27_26_791.jpg, C:\Users\thulasiraman\Desktop\Data\IMG\left_2020_06_15_18_27_26_791.jpg, C:\Users\thulasiraman\Desktop\Data\IMG\right_2020_06_15_18_27_26_791.jpg, 0, 0, 0, 5.21596
C:\Users\thulasiraman\Desktop\Data\IMG\center_2020_06_15_18_27_26_920.jpg, C:\Users\thulasiraman\Desktop\Data\IMG\left_2020_06_15_18_27_26_920.jpg, C:\Users\thulasiraman\Desktop\Data\IMG\right_2020_06_15_18_27_26_920.jpg, 0, 0, 0, 5.145995
C:\Users\thulasiraman\Desktop\Data\IMG\center_2020_06_15_18_27_27_053.jpg, C:\Users\thulasiraman\Desktop\Data\IMG\left_2020_06_15_18_27_27_053.jpg, C:\Users\thulasiraman\Desktop\Data\IMG\right_2020_06_15_18_27_27_053.jpg, 0, 0.2231106, 0, 5.21148
C:\Users\thulasiraman\Desktop\Data\IMG\center_2020_06_15_18_27_27_155.jpg, C:\Users\thulasiraman\Desktop\Data\IMG\left_2020_06_15_18_27_27_155.jpg, C:\Users\thulasiraman\Desktop\Data\IMG\right_2020_06_15_18_27_27_155.jpg, 0, 0.5272377, 0, 5.70075
C:\Users\thulasiraman\Desktop\Data\IMG\center_2020_06_15_18_27_27_288.jpg, C:\Users\thulasiraman\Desktop\Data\IMG\left_2020_06_15_18_27_27_288.jpg, C:\Users\thulasiraman\Desktop\Data\IMG\right_2020_06_15_18_27_27_288.jpg, 0, 0.9273126, 0, 6.950815
C:\Users\thulasiraman\Desktop\Data\IMG\center_2020_06_15_18_27_27_422.jpg, C:\Users\thulasiraman\Desktop\Data\IMG\left_2020_06_15_18_27_27_422.jpg, C:\Users\thulasiraman\Desktop\Data\IMG\right_2020_06_15_18_27_27_422.jpg, 0.231858, 1, 0, 8.520924
C:\Users\thulasiraman\Desktop\Data\IMG\center_2020_06_15_18_27_27_535.jpg, C:\Users\thulasiraman\Desktop\Data\IMG\left_2020_06_15_18_27_27_535.jpg, C:\Users\thulasiraman\Desktop\Data\IMG\right_2020_06_15_18_27_27_535.jpg, 0, 1, 0, 9.643113
